Customer ID|Active (0/1)|Titles ID|Email *|Password *|Birthday|Фамилия|Имя|Рассылка|Подписка|Группы|Осн Группа|Магазин
1|1|1|p1@mail.ru|12345678|1984-05-11|Иван|Огонек|0|0|1^2^3|3|1
2|1|1|p2@mail.ru|12345678|1984-05-11|Иван|Огонек|0|0|1^2^3|3|1
3|1|1|p3@mail.ru|12345678|1984-05-11|Иван|Огонек|0|0|1^2^3|3|1
4|1|1|p4@mail.ru|12345678|1984-05-11|Иван|Омск|0|0|1^2^3|3|4
5|1|1|p5@mail.ru|12345678|1984-05-11|Иван|Омск|0|0|1^2^3|3|4
6|1|1|p6@mail.ru|12345678|1984-05-11|Иван|Омск|0|0|1^2^3|3|4
7|1|1|p7@mail.ru|12345678|1984-05-11|Иван|Тамбов|0|0|1^2^3|3|5
8|1|1|p8@mail.ru|12345678|1984-05-11|Иван|Тамбов|0|0|1^2^3|3|5
9|1|1|p9@mail.ru|12345678|1984-05-11|Иван|Тамбов|0|0|1^2^3|3|5
10|1|1|p10@mail.ru|12345678|1984-05-11|Иван|Пенза|0|0|1^2^3|3|6
11|1|1|p11@mail.ru|12345678|1984-05-11|Иван|Пенза|0|0|1^2^3|3|6
12|1|1|p12@mail.ru|12345678|1984-05-11|Иван|Пенза|0|0|1^2^3|3|6
